Plain English,Gen-Z Slang
That’s amazing!,That’s lit!
I’m not sure about that.,I’m lowkey unsure.
You only live once.,YOLO.
That's suspicious.,That's sus.
I’m so excited!,I’m so hype!
That’s really good.,That’s fire.
I’m going to sleep.,I’m hitting the hay.
What’s going on?,What’s the tea?
That’s terrible.,That’s trash.
Are you serious?,For real?
I don’t understand.,I’m confused AF.
I’m very happy.,I’m stoked.
That’s disappointing.,That’s a bummer.
Let’s hang out.,Let’s chill.
You’re so funny.,You’re hilarious.
I’m really hungry.,I’m starving.
It’s very cold.,It’s freezing.
I’m very tired.,I’m exhausted.
This is difficult.,This is tough.
I’m very busy.,I’m swamped.
That’s really strange.,That’s weird.
I understand.,I get it.
That’s true.,Facts.
I don’t care.,I’m not bothered.
I agree.,I feel you.
You’re really cool.,You’re dope.
I’m very excited.,I’m pumped.
I’m angry.,I’m pissed.
I’m disappointed.,I’m bummed.
Let’s leave.,Let’s bounce.
Are you okay?,You good?
I’m really scared.,I’m shook.
That’s embarrassing.,That’s cringe.
It’s amazing.,It’s epic.
That’s a big deal.,That’s huge.
It’s very funny.,It’s hilarious.
I’m happy.,I’m chillin’.
That’s great.,That’s awesome.
Let’s go.,Let’s roll.
I’m surprised.,I’m shooketh.
It’s very expensive.,It’s boujee.
It’s very cheap.,It’s ratchet.
I’m excited.,I’m hyped.
That’s very easy.,That’s a breeze.
It’s very hard.,It’s tough.
I’m leaving.,I’m out.
That’s perfect.,That’s on point.
I’m sorry.,My bad.
That’s fantastic.,That’s bomb.
I’m ready.,I’m set.
Let’s start.,Let’s get it.
I’m worried.,I’m stressed.
It’s very beautiful.,It’s stunning.
I’m angry.,I’m mad.
It’s very quiet.,It’s dead silent.
That’s really interesting.,That’s intriguing.
I’m really bored.,I’m bored AF.
It’s really boring.,It’s a snoozefest.
I’m scared.,I’m freaked out.
It’s very scary.,It’s terrifying.
I’m in trouble.,I’m in deep.
That’s very important.,That’s crucial.
It’s really bad.,It’s awful.
I’m exhausted.,I’m beat.
That’s very good.,That’s fantastic.
It’s very delicious.,It’s yummy.
I’m very embarrassed.,I’m mortified.
That’s very clever.,That’s brilliant.
It’s very simple.,It’s basic.
That’s very impressive.,That’s mind-blowing.
It’s very boring.,It’s dull.
I’m very scared.,I’m petrified.
It’s very funny.,It’s a riot.
I’m very excited.,I’m thrilled.
I’m very angry.,I’m furious.
It’s very quiet.,It’s silent.
I’m very happy.,I’m elated.
It’s very loud.,It’s deafening.
I’m very surprised.,I’m astonished.
It’s very hot.,It’s scorching.
I’m very sad.,I’m heartbroken.
It’s very cheap.,It’s a steal.
I’m very hungry.,I’m famished.
It’s very dark.,It’s pitch-black.
I’m very tired.,I’m worn out.
It’s very crowded.,It’s packed.
I’m very sleepy.,I’m drowsy.
It’s very old.,It’s ancient.
I’m very late.,I’m running behind.
It’s very small.,It’s tiny.
I’m very fast.,I’m quick as lightning.
It’s very cold.,It’s icy.
I’m very strong.,I’m mighty.
It’s very beautiful.,It’s breathtaking.
I’m very excited.,I’m ecstatic.
It’s very clean.,It’s spotless.
I’m very busy.,I’m slammed.
It’s very dirty.,It’s filthy.
I’m very scared.,I’m terrified.
It’s very funny.,It’s hysterical.
I’m very tired.,I’m drained.
It’s very cheap.,It’s dirt cheap.
I’m very hungry.,I’m ravenous.
It’s very dark.,It’s murky.
I’m very old.,I’m ancient.
It’s very difficult.,It’s grueling.
I’m very confused.,I’m perplexed.
It’s very boring.,It’s monotonous.
I’m very happy.,I’m jubilant.
It’s very interesting.,It’s fascinating.
I’m very tired.,I’m pooped.
It’s very scary.,It’s frightening.
I’m very sad.,I’m devastated.
It’s very old.,It’s antique.
I’m very excited.,I’m euphoric.
It’s very quiet.,It’s tranquil.
I’m very strong.,I’m powerful.
It’s very expensive.,It’s costly.
I’m very happy.,I’m overjoyed.
It’s very hot.,It’s sweltering.
I’m very tired.,I’m spent.
It’s very cold.,It’s frigid.
I’m very hungry.,I’m starving.
It’s very boring.,It’s tedious.
I’m very sad.,I’m sorrowful.
It’s very old.,It’s vintage.
I’m very excited.,I’m exhilarated.
It’s very quiet.,It’s serene.
I’m very strong.,I’m indomitable.
It’s very cheap.,It’s economical.
I’m very busy.,I’m overwhelmed.
It’s very clean.,It’s pristine.
I’m very scared.,I’m horrified.
It’s very interesting.,It’s captivating.
I’m very happy.,I’m joyous.
It’s very funny.,It’s comical.
I’m very tired.,I’m weary.
It’s very cheap.,It’s inexpensive.
I’m very hungry.,I’m famished.
It’s very dark.,It’s obscure.
